dim_table,model,column,kind,calc_dax
_Measures,Act+Fcst by WNK & MILL Prod Resource,z_Measures,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Transaction Date,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Year,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Calendar Year,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Integer Date,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Mapics Date,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Day of Week,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Week Num,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,FW Desc,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Year Week Num,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Month Num,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,FM Desc,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Month Name,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Year Month Num,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Month Year Desc,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Month (calendar start),source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Quarter Num,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,FQ Desc,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Year Half Num,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Half Num,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,FH Desc,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,FY Desc,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Week Start,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Week End,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Month Start,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Month End,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Year Start,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Year End,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Holiday Indicator,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Holiday Name,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,WeekdayWeekend,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Calendar Week Num,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Calendar Month Num,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Calendar Quarter Num,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Day Indicator,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Week Indicator,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Month Indicator,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Quarter Indicator,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,Fiscal Year Indicator,source,
z_FiscalCal,Act+Fcst by WNK & MILL Prod Resource,FiscalWeeksinMonth,calc,"SWITCH(z_FiscalCal[Fiscal Year Month Num],202212,6,SWITCH(z_FiscalCal[Fiscal Month Num],3,5,6,5,9,5,12,5,4))"
z_ItemWHProdResource,Act+Fcst by WNK & MILL Prod Resource,It_WhKey,source,
z_ItemWHProdResource,Act+Fcst by WNK & MILL Prod Resource,Item SKU,source,
z_ItemWHProdResource,Act+Fcst by WNK & MILL Prod Resource,Warehouse,source,
z_ItemWHProdResource,Act+Fcst by WNK & MILL Prod Resource,ABC_IP,source,
z_ItemWHProdResource,Act+Fcst by WNK & MILL Prod Resource,MBX,source,
z_ItemWHProdResource,Act+Fcst by WNK & MILL Prod Resource,WH Source,source,
z_ItemWHProdResource,Act+Fcst by WNK & MILL Prod Resource,Prod Source,source,
z_ItemWHProdResource,Act+Fcst by WNK & MILL Prod Resource,Prod Resource,source,
z_ItemWHProdResource,Act+Fcst by WNK & MILL Prod Resource,L2 Item,source,
z_ItemWHProdResource,Act+Fcst by WNK & MILL Prod Resource,L2 Prod Source,source,
z_ItemWHProdResource,Act+Fcst by WNK & MILL Prod Resource,L2 Prod Resource,source,
z_ItemWHProdResource,Act+Fcst by WNK & MILL Prod Resource,dtea,source,
z_ProdResourceMaster,Act+Fcst by WNK & MILL Prod Resource,ResourceID,source,
z_ProdResourceMaster,Act+Fcst by WNK & MILL Prod Resource,LocationID,source,
z_ProdResourceMaster,Act+Fcst by WNK & MILL Prod Resource,Prod Group,calc,"SWITCH(z_ProdResourceMaster[LocationID],""900515"",""Wanek 1"",""900639"",""Wanek 2"",""600039"",""Wanek 3"",""624556"",""Millenium"",""Domestic"")"
z_ProdResourceMaster,Act+Fcst by WNK & MILL Prod Resource,Resource Group,calc,```
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Item SKU,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Item Description,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Colors,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Series Number,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Series Name,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Series Color,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Item Grouping,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Item Class Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Item Class Name,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Collective Class Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Collective Class,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Responsible Office,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Product Line,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Retail Category Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Retail Category Description,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,AFI Finance Division,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,AFI Sales Division Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,AFI Sales Division,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,AFI Sales Category Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,AFI Sales Category,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,FOB Price,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Import/Domestic Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Qty In Box,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,UOM,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Main Piece Item,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Primary Vendor,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Primary Vendor Name,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Item Style Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Item Style Group,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,AFI Item Status,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Manufacturing Status,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Manufacturing Status Change Date,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,ItemForecastPlannerID,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Cubes,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Unit Price,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Current Status,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Future Status,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,ItemImage,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Image URL,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Sales Class Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Sales Class Description,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Marketing Item Status,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Marketing Status Description,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Discount Class Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Discount Class Description,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Commission Class Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Commission Class Description,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Freight Class Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Freight Class Description,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Country of Origin,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,CEX Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Commodity Item,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Market Introduced At,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Market Begin Date,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Market End Date,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Initial Invoice Period,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Initial Invoice Qty,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Merchandising Category,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Child Style Description,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Parent Style Description,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Price Point,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Item Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Series Desc,calc,"CONCATENATE(z_ProductDetails[Series Number],CONCATENATE("" - "", z_ProductDetails[Series Name]))"
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,ItemSKU Desc,calc,"CONCATENATE(z_ProductDetails[Item SKU],CONCATENATE("" - "",z_ProductDetails[Item Description]))"
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,ItemSKU Description,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Series Description,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Ext Series Number,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Ext Series Description,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,HSExclusiveFlag,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,ContainerVolume,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Association Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Default Group,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Sellable Item Flag,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,ExpressShipFlag,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,F123 Product Flag,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,HS Core Product Flag,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,HS Proprietary Product Flag,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,HS Exclusive Flag,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Berkline Product Flag,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Benchcraft Product Flag,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,New Millennium Product Flag,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Bardini Product Flag,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Shanghai Store,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Price Point Rating,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Main Piece,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Current SCP Manufacturing Status,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,General Description Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,General Description,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,ConsumerChoiceFlag,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Item Ext Series Number,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Hold Buy Code,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Showroom,source,
z_ProductDetails,Act+Fcst by WNK & MILL Prod Resource,Secondary Planner,source,
z_WarehouseMaster,Act+Fcst by WNK & MILL Prod Resource,Warehouse Location,source,
z_WarehouseMaster,Act+Fcst by WNK & MILL Prod Resource,Warehouse Name,source,
z_WarehouseMaster,Act+Fcst by WNK & MILL Prod Resource,Warehouse Order Group,source,
z_WarehouseMaster,Act+Fcst by WNK & MILL Prod Resource,Intransit Warehouse,source,
z_WarehouseMaster,Act+Fcst by WNK & MILL Prod Resource,Container Direct Warehouse,source,
z_WarehouseMaster,Act+Fcst by WNK & MILL Prod Resource,Controlled Warehouse,source,
z_WarehouseMaster,Act+Fcst by WNK & MILL Prod Resource,AFIWarehousesKey,source,
z_WarehouseMaster,Act+Fcst by WNK & MILL Prod Resource,Warehouse,source,
z_WarehouseMaster,Act+Fcst by WNK & MILL Prod Resource,Warehouse Group,source,
z_WarehouseMaster,Act+Fcst by WNK & MILL Prod Resource,Site ID,source,
z_WarehouseMaster,Act+Fcst by WNK & MILL Prod Resource,Sort By,source,
_Measures,Act+Fcst vs Manufacturing,z_Measures,source,
z_FiscalCal,Act+Fcst vs Manufacturing,Transaction Date,source,
