model,measure,signature,referenced_tables,dax_len
Act+Fcst by WNK & MILL Prod Resource,Act - Invoiced,"calculate(sum(col),col=str)",ActDemand,66
Act+Fcst by WNK & MILL Prod Resource,Act - Open Ord,"calculate(sum(col),col=str)",ActDemand,67
Act+Fcst by WNK & MILL Prod Resource,Fcast - Result,"calculate(sum(col),col=str)",Fcast,51
Act+Fcst by WNK & MILL Prod Resource,Fcast - Promo,"calculate(sum(col),col=str)",Fcast,49
Act+Fcst by WNK & MILL Prod Resource,Fcast - Total,meas+meas,,34
Act+Fcst by WNK & MILL Prod Resource,Act+Fcast,"calculate(sum(col),col<num)+(meas+meas)",ActDemand; z_FiscalCal,111
Act+Fcst by WNK & MILL Prod Resource,Act+Fcast Weekly Qty,"divide(meas,meas)",,40
Act+Fcst by WNK & MILL Prod Resource,FiscalWeeksinMonth,calculate(average(col)),z_FiscalCal,51
Act+Fcst by WNK & MILL Prod Resource,Prod Capacity,calculate(sum(col)),ProdCapacity,45
Act+Fcst by WNK & MILL Prod Resource,ETD Fcast,"calculate(sum(col),col=str,userelationship(col,col))+calculate(sum(col),col=str,userelationship(col,col))",Fcast; z_FiscalCal,239
Act+Fcst by WNK & MILL Prod Resource,Past Due Qty,"calculate(meas,col<num)",z_FiscalCal,64
Act+Fcst by WNK & MILL Prod Resource,FcstAverageWeekly,"divide(calculate(meas,and(col>num,col<=num)),num)",z_FiscalCal,114
Act+Fcst by WNK & MILL Prod Resource,Vendor Shipped,calculate(sum(col)),VendorShipped,42
Act+Fcst by WNK & MILL Prod Resource,ETA Vendor Shipped,"calculate(sum(col),userelationship(col,col))",VendorShipped; z_FiscalCal,119
Act+Fcst vs Manufacturing,Act - Invoiced,"calculate(sum(col),col=str)",ActDemand,66
Act+Fcst vs Manufacturing,Act - Open Ord,"calculate(sum(col),col=str)",ActDemand,67
Act+Fcst vs Manufacturing,Fcast - Result,"calculate(sum(col),col=str)",Fcast,51
Act+Fcst vs Manufacturing,Fcast - Promo,"calculate(sum(col),col=str)",Fcast,49
Act+Fcst vs Manufacturing,Fcast - Total,meas+meas,,34
Act+Fcst vs Manufacturing,Act+Fcast,"calculate(sum(col),col<num)+(meas+meas)",ActDemand; z_FiscalCal,111
Act+Fcst vs Manufacturing,Act+Fcast Weekly Qty,"divide(meas,meas)",,40
Act+Fcst vs Manufacturing,FiscalWeeksinMonth,calculate(average(col)),z_FiscalCal,51
Act+Fcst vs Manufacturing,Prod Capacity,calculate(sum(col)),ProdCapacity,45
Act+Fcst vs Manufacturing,ETD Fcast,"calculate(sum(col),col=str,userelationship(col,col))+calculate(sum(col),col=str,userelationship(col,col))",Fcast; z_FiscalCal,239
Act+Fcst vs Manufacturing,Past Due Qty,"calculate(meas,col<num)",z_FiscalCal,64
Act+Fcst vs Manufacturing,FcstAverageWeekly,"divide(calculate(meas,and(col>num,col<=num)),num)",z_FiscalCal,114
Act+Fcst vs Manufacturing,Vendor Shipped,calculate(sum(col)),VendorShipped,42
