fingerprint,model,report_table,primary_base_object,norm_len
76ed2e2611e8,Act+Fcst by WNK & MILL Prod Resource,ActDemand,SupplyChain_Enh.ActualsCustItemWH_AFI,924
5e7232a50674,Act+Fcst by WNK & MILL Prod Resource,Fcast,SupplyChain_Enh.DemandForecastSnapshot,4064
96c48590a1bf,Act+Fcst by WNK & MILL Prod Resource,ProdCapacity,Supplychain_History.ProductionCapacity,825
a36c42f779a8,Act+Fcst by WNK & MILL Prod Resource,VendorShipped,Manufacturing_Inventory_WNK.IMHIST,3308
5b3282a03338,Act+Fcst by WNK & MILL Prod Resource,z_ItemWHProdResource,SupplyChain_Enh.DemandInventorySnapshot,5098
02419a7f296d,Act+Fcst vs Manufacturing,ActDemand,SupplyChain_Enh.ActualsCustItemWH_AFI,930
df27f86f7483,Act+Fcst vs Manufacturing,Fcast,SupplyChain_Enh.DemandForecastSnapshot,4098
2bd6b94d6f04,Act+Fcst vs Manufacturing,ProdCapacity,Supplychain_History.ProductionCapacity,831
a36c42f779a8,Act+Fcst vs Manufacturing,VendorShipped,Manufacturing_Inventory_WNK.IMHIST,3308
5b3282a03338,Act+Fcst vs Manufacturing,z_ItemWHProdResource,SupplyChain_Enh.DemandInventorySnapshot,5098
80dd9d17c3d4,AFT_SI-SS_PSW,Current,SupplyChain_Enh.PSWWeeklyExtractSnapshot,15209
89ed2112c9d3,AFT_SI-SS_PSW,DELIVERY TIME,Wholesale_Purchasing_AFI.VENNAM,625
b51d5015d1b2,AFT_SI-SS_PSW,Demand Fulfillment,PowerBI_SupplyChain.SupplyPlanDetailCurrentDay,7659
4c875edcd65d,AFT_SI-SS_PSW,DUE,Enterprise_DW.DimDate,293
4c875edcd65d,AFT_SI-SS_PSW,ETD,Enterprise_DW.DimDate,293
504de0c89e38,AFT_SI-SS_PSW,Item Desc,Inventory_DW.DimItemMaster,1151
2e220e5ee03a,AFT_SI-SS_PSW,Old Snap,SupplyChain_Enh.PSWWeeklyExtractSnapshot,15284
d973313e3972,AFT_SI-SS_PSW,Past Week,SupplyChain_Enh.PSWWeeklyExtractSnapshot,15519
6028748a6966,AFT_SI-SS_PSW,PO,SupplyChain_Enh.PSWWeeklyExtractSnapshot,14625
767e790ff4dd,AFT_SI-SS_PSW,Product Filter,Manufacturing_MasterData.FlatBOM,7675
c8d7bcd0f30b,AFT_SI-SS_PSW,Vendor Split,Wholesale_Vendors_WNK.VendorPricing,575
6670e04e86ca,Amazon POS Sales and Forecast,AMZNFC,SupplyChain_Enh.AmazonCustomerForecast,257
bcf512d1c5fe,Amazon POS Sales and Forecast,AMZNInv,SupplyChain_Enh.AmazonCustomerInventory,383
24578a40b6cc,Amazon POS Sales and Forecast,AMZNPOS,SupplyChain_Enh.AmazonCustomerPOS,492
dcc4a2146e83,Amazon POS Sales and Forecast,AMZNWholesale,SupplyChain_Enh.ActualsCustItemWH_AFI,697
